Model,MedicalEnv_easy,MedicalEnv_hard,EducationEnv_easy,EducationEnv_hard,MusicEnv_easy,MusicEnv_hard,FantasyEnv_easy,FantasyEnv_hard,ChemicalEnv_easy,ChemicalEnv_hard
qwen2.5-3b-instruct,0.6536,2.2473379731379732,0.9363999999999999,2.939204262404262,0.8416666666666666,2.8406136363636363,0.6738,1.876102258852259,1.0222666666666664,2.224293217893218
qwen2.5-7b-instruct,0.5706761904761904,2.167936852036852,0.9230666666666666,2.84749627039627,1.0005333333333333,2.7394054223554223,0.6780571428571429,1.7269211843711847,1.1687333333333334,2.148121500721501
qwen2.5-14b-instruct,0.49113333333333326,1.8707985902985904,0.7015333333333333,2.260129270729271,0.6241333333333333,2.466132561882562,0.20936190476190478,1.1457441391941392,0.8354666666666667,1.948899711399711
qwen2.5-32b-instruct,0.5525238095238094,1.8048634254634255,0.6477333333333334,2.21891381951382,0.6859999999999999,2.524561444111444,0.23541904761904764,1.0094462148962147,0.8561333333333334,1.8579454545454546
qwen2.5-72b-instruct,0.4351047619047619,1.7539186147186148,0.6232,2.1678197802197805,0.5986190476190476,2.1690080419580413,0.3943904761904762,1.271123015873016,0.8254666666666667,1.9624598845598846
llama-3.1-8b-instruct,0.675742857142857,2.2262961038961038,0.9055333333333333,2.6019944055944055,0.8823619047619047,2.7755970140970145,0.6281142857142856,1.823925152625153,1.1288,2.2331408369408368
llama-3.1-70b-instruct,0.4085142857142857,1.852901276501277,0.5771333333333334,2.2188177822177826,0.620095238095238,2.516247102897103,0.3229714285714286,1.245137362637363,0.8285333333333333,1.9936789321789319
llama-3.2-3b-instruct,0.6816285714285714,2.1948076701076706,0.8691333333333334,2.864608924408924,1.0788857142857142,2.860846797646798,0.7130571428571428,1.9846773504273507,1.1526666666666665,2.3140805194805196
llama-3.3-70b-instruct,0.44421904761904757,1.7282002997002999,0.6331333333333333,2.280622077922078,0.6707809523809523,2.57382471972472,0.2710190476190476,0.8077329059829059,0.9390666666666666,2.1555012987012985
mistral-large-instruct-2411,0.3882190476190476,1.678209046509047,0.6769333333333332,2.214808957708958,0.6624857142857142,2.5009740703740704,0.1259142857142857,0.5953711233211233,0.8290666666666666,1.9894582972582975
gemma-2-27b-it,0.4850761904761905,1.9968846153846151,0.7234,2.69995670995671,0.7730666666666666,2.790931862581863,0.35649523809523803,1.710737667887668,0.953533333333333,2.2248773448773447
gemma-2-9b-it,0.6444000000000001,2.2255130092130093,0.8838666666666667,2.6226179154179152,0.9248000000000001,2.8426967976467976,0.7076952380952382,1.8481564713064718,1.1003333333333334,2.1583582972582973
deepseek-v3,0.42532380952380955,1.6170077478077478,0.7129333333333334,2.248735098235098,0.6254857142857142,2.219661804861805,0.056790476190476204,0.5228232600732601,0.8336666666666668,1.9184662337662335
deepseek-r1,0.4207714285714285,1.4745051393051394,0.7282666666666666,1.6776700965700964,0.6092095238095239,2.0496162781662783,-0.025180952380952377,0.2524613553113553,0.8385333333333334,1.6483629148629149
o1-mini,0.4260380952380952,1.5293025086025085,0.6331333333333333,1.7505446886446887,0.5322190476190476,1.9264454267954267,0.0006190476190476232,0.24369664224664223,0.7304666666666667,1.6651430014430015
gpt-4o,0.35727619047619047,1.6026996558996562,0.5853333333333334,1.9797842157842158,0.6338095238095238,2.395624852924853,0.15441904761904762,0.7074238705738705,0.8002,1.8967662337662337
gpt-3.5-turbo,0.6873904761904762,2.201404961704962,0.8484666666666666,2.9104584082584077,0.9777999999999999,2.7378617327117327,0.6506666666666667,1.6341459706959707,1.2073333333333331,2.264004329004329
gpt-4o-mini,0.417047619047619,1.894368531468532,0.6778666666666666,2.581580486180486,0.6139428571428571,2.488603724053724,0.18941904761904765,1.0309987179487181,0.7371999999999999,1.9069406926406927
gemini-2.0-flash-exp,0.40950476190476187,1.615485481185481,0.6731999999999999,2.2682547452547452,0.5734666666666667,2.2373162004662004,0.16571428571428568,0.9145087301587301,0.8233333333333333,1.679636507936508
yi-lightning,0.4769523809523809,1.8435464646464648,0.6901999999999999,2.344459107559108,0.6401047619047618,2.497052497502498,0.3317523809523809,1.3547200854700856,0.8423999999999999,2.11661544011544
claude-3.5-sonnet,0.32449523809523806,1.3691913086913088,0.4953333333333333,1.6429033300033304,0.6156952380952381,2.4510607004107,0.13602857142857144,1.0927607448107448,0.7377333333333334,1.7624789321789323
claude-3.5-haiku,0.6198666666666666,1.9588351648351652,0.8604,2.394029703629704,0.8496666666666666,2.3729079087579086,0.5015428571428571,1.3485669719169722,0.954,1.9822698412698412
qwq-32b,0.5122666666666668,1.585119835719836,0.7233333333333334,1.8167246420246421,0.6053809523809524,2.0382949217449218,0.03801904761904761,0.4828054334554334,0.7902666666666667,1.6529505050505051
llama-4-maverick-17b-128e-instruct,0.5282380952380953,1.7214799644799648,0.7283999999999999,2.2603925740925743,0.7028666666666665,2.478557264957265,0.19875238095238096,0.8711050671550671,0.9071999999999999,2.15731544011544
llama-4-scout-17b-16e-instruct,0.5725333333333332,1.8389882894882894,0.8116666666666668,2.463142157842158,0.9445619047619047,2.8536695249195247,0.6425428571428572,1.7194736874236878,1.1197333333333332,2.1896789321789325
